Order_ID,Order_Date,Region,Category,Product,Quantity,Sales,Discount,Profit
ORD-100000,2024-05-10,South,Office Supplies,Pen,8,17321.44,0.15,718.05
ORD-100001,2024-11-10,South,Technology,Tablet,8,8301.76,0.05,1783.18
ORD-100002,2022-05-02,West,Furniture,Chair,3,25745.96,0.15,2579.64
ORD-100003,2023-04-12,East,Furniture,Table,9,47604.38,0.1,2831.64
ORD-100004,2022-11-27,East,Furniture,Table,1,9276.91,0.2,-480.63
ORD-100005,2022-03-29,West,Furniture,Desk,7,48234.72,0.1,5470.25
ORD-100006,2024-05-21,North,Technology,Phone,2,5971.8,0.05,1148.36
ORD-100007,2022-05-11,West,Office Supplies,Notebook,3,1364.67,0.1,58.61
ORD-100008,2024-02-09,East,Technology,Phone,1,36586.16,0.0,6932.17
ORD-100009,2022-12-10,West,Office Supplies,Pen,6,17799.52,0.05,974.44
ORD-100010,2024-03-16,North,Technology,Laptop,4,3724.16,0.2,-155.41
ORD-100011,2023-01-21,South,Furniture,Table,4,22781.15,0.1,1520.46
ORD-100012,2024-08-13,North,Technology,Phone,1,43488.9,0.05,4625.38
ORD-100013,2022-10-04,North,Technology,Phone,1,19339.07,0.1,2536.82
ORD-100014,2023-04-05,East,Technology,Monitor,2,24331.05,0.15,1205.25
ORD-100015,2022-01-22,West,Office Supplies,Notebook,6,1042.7,0.15,-23.03
ORD-100016,2022-09-10,South,Office Supplies,Notebook,4,31889.38,0.05,5484.85
ORD-100017,2024-01-18,East,Office Supplies,Pen,8,22706.36,0.0,6644.75
ORD-100018,2024-05-06,West,Technology,Phone,5,44119.27,0.1,7054.3
ORD-100019,2023-04-20,South,Furniture,Wardrobe,4,31660.76,0.0,5587.99
ORD-100020,2024-12-18,East,Office Supplies,Notebook,8,15198.78,0.05,1583.37
ORD-100021,2023-05-26,North,Furniture,Table,8,41226.81,0.0,6348.07
ORD-100022,2023-12-01,South,Technology,Monitor,5,34312.47,0.0,4938.47
ORD-100023,2024-09-02,North,Furniture,Desk,4,13691.61,0.2,-1163.39
ORD-100024,2022-07-09,East,Furniture,Table,1,34892.06,0.2,-2049.51
ORD-100025,2024-08-15,North,Office Supplies,Notebook,5,29674.13,0.1,-1426.14
ORD-100026,2023-11-18,North,Furniture,Wardrobe,7,22724.5,0.15,1291.75
ORD-100027,2024-08-15,West,Furniture,Desk,6,6965.23,0.0,1771.78
ORD-100028,2023-07-17,West,Office Supplies,Storage Box,6,44401.88,0.05,3688.45
ORD-100029,2024-04-11,East,Office Supplies,Storage Box,5,39397.12,0.1,-816.43
ORD-100030,2023-10-09,East,Furniture,Desk,8,11582.91,0.1,1254.05
ORD-100031,2022-01-21,South,Technology,Monitor,8,41666.18,0.2,-1901.28
ORD-100032,2024-04-20,North,Furniture,Wardrobe,7,1376.37,0.2,77.89
ORD-100033,2022-06-16,South,Technology,Phone,4,1736.06,0.2,-73.45
